keyword,location,page,position,company,companyRating,companyReviewCount,highlyRatedEmployer,jobkey,jobTitle,jobLocationCity,jobLocationPostal,jobLocationState,maxSalary,minSalary,salaryType,pubDate
software engineer,California,1,0,Adobe,4.3,776,,5464c1565510e0f3,2024 University Graduate - Software Engineer,San Jose,95110,CA,0,0,none,1694581200000
software engineer,California,1,1,Adobe,4.3,776,,6a030c21255bf55c,2024 University Graduate - Software Engineer,San Jose,95110,CA,0,0,none,1694149200000
software engineer,California,1,2,Adobe,4.3,776,,242db85f4eda3990,2024 University Graduate - Software Engineer,San Jose,95110,CA,0,0,none,1694149200000
software engineer,California,1,3,Verkada,3.3,9,,a3ea45daca754815,Frontend Software Engineer - University Graduate 2024,San Mateo,,CA,0,0,none,1693285200000
software engineer,California,1,4,Pinterest,3.9,38,,4a60afeecb5cf9db,"Software Engineer, Backend",San Francisco,,CA,209845.8,165725.8,209845.8,1694494800000
software engineer,California,1,5,Cadence Design Systems,4.2,228,,67b3727f74b62965,Software Engineer - New Graduate,San Jose,,CA,0,0,none,1694149200000
software engineer,California,1,6,Lytx,3.4,41,,aacde8139b699ffe,Software Engineer I,San Diego,,CA,0,0,none,1694408400000
software engineer,California,1,7,Hewlett Packard Enterprise,3.8,5038,,3ec13fec4b1b28e6,Software Engineering Graduate,Roseville,95747,CA,0,0,none,1693458000000
software engineer,California,1,8,ServiceNow,3.7,236,,29b5f1c9ff237428,UTG - Software Engineer - New College Grad,Santa Clara,95054,CA,0,0,none,1694494800000
software engineer,California,1,9,Albertsons Companies,3.6,7390,,c81a47088cfba0f9,Software Engineer,Pleasanton,94588,CA,0,0,none,1694149200000
software engineer,California,1,10,VSP Global,3.7,259,,75959585e3815b0d,Software Engineer,,,CA,0,0,none,1694408400000
software engineer,California,1,11,Adobe,4.3,776,,686e83f57db3c591,Software Development Engineer,San Jose,95110,CA,0,0,none,1694581200000
software engineer,California,1,12,Wells Fargo,3.7,44890,,a553d1c7985748d1,2024 Technology Early Career Development Program (Software or Data Engineer),San Francisco,,CA,0,0,none,1691557200000
software engineer,California,1,13,Adobe,4.3,776,,44418cc6bc111daf,Software Development Engineer,San Jose,95110,CA,0,0,none,1691989200000
software engineer,California,1,14,Resmatic Inc.,0,0,,f987180e50415756,html Coder,Sebastopol,,CA,92584.86,73118.94,92584.86,1546322400000
software engineer,California,5,0,Workday,3.9,160,,6e04a1ed98d272f9,Software Development Engineer - Recruiting Development,Pleasanton,,CA,0,0,none,1694581200000
software engineer,California,5,1,Adobe,4.3,776,,ef959328306445e8,Software Development Engineer,San Jose,95110,CA,0,0,none,1690779600000
software engineer,California,5,2,Amazon.com Services LLC,3.5,44527,,2cc749df17302a3c,Jr. Software Development Engineer,San Luis Obispo,93401,CA,0,0,none,1691989200000
software engineer,California,5,3,AppLovin,4.6,5,,73f6c9b0826f5280,"Software Engineer II, C++ Backend",Palo Alto,94301,CA,0,0,none,1692334800000
software engineer,California,5,4,KLA,3.9,248,,1ea58795107d51e7,Software Engineer (E),Milpitas,,CA,0,0,none,1691384400000
software engineer,California,5,5,Atomic,0,0,,fb5e16c5bea5f594,Full-Stack Software Engineer,,,CA,0,0,none,1693198800000
software engineer,California,5,6,One Wheel,0,0,,899b2449593b8bb1,Software Engineer,Santa Cruz,,CA,125019.78,98734.42,125019.78,1555218000000
software engineer,California,5,7,Ojas Innovative Technologies,0,0,,6156258e46344bf0,Software Engineer,Los Angeles,,CA,137196.86,108351.27,137196.86,1655874000000
software engineer,California,5,8,TikTok,3.5,153,,dede95cb4eb4ee1e,"Backend Software Engineer, Content E-commerce",San Jose,,CA,0,0,none,1694494800000
software engineer,California,5,9,Salesforce,4.3,1077,,6acb6444419df011,Software Engineering MTS,San Francisco,,CA,0,0,none,1693458000000
software engineer,California,5,10,Adobe,4.3,776,,33882ad49837bf33,2024 University Graduate - Machine Learning Engineer,San Jose,95110,CA,0,0,none,1694149200000
software engineer,California,5,11,Oracle,3.8,6958,,7ef0584bcf062d4d,Software Developer 4,,,CA,133466.44,105405.18,133466.44,1693285200000
